Domain,MCP_URL
applypass.com,https://mcp.applypass.com/.well-known/mcp-server
appmedo.com,https://mcp.appmedo.com/.well-known/mcp-server
apprecio.com,https://mcp.apprecio.com/.well-known/mcp-server
apter.com.br,https://mcp.apter.com.br/.well-known/mcp-server
aptoide.com,https://mcp.aptoide.com/.well-known/mcp-server
aqmen.ai,https://mcp.aqmen.ai/.well-known/mcp-server
aquant.ai,https://mcp.aquant.ai/.well-known/mcp-server
aquilax.ai,https://mcp.aquilax.ai/.well-known/mcp-server
aquion.com.au,https://mcp.aquion.com.au/.well-known/mcp-server
arcade.software,https://mcp.arcade.software/.well-known/mcp-server
arcadis.com,https://mcp.arcadis.com/.well-known/mcp-server
arcananet.com,https://mcp.arcananet.com/.well-known/mcp-server
archera.ai,https://mcp.archera.ai/.well-known/mcp-server
archilogic.com,https://mcp.archilogic.com/.well-known/mcp-server
arcwise.app,https://mcp.arcwise.app/.well-known/mcp-server
are.na,https://mcp.are.na/.well-known/mcp-server
arena.com.tr,https://mcp.arena.com.tr/.well-known/mcp-server
aries.com,https://mcp.aries.com/.well-known/mcp-server
aris.in,https://mcp.aris.in/.well-known/mcp-server
aritium.com,https://mcp.aritium.com/.well-known/mcp-server
arll.eu,https://mcp.arll.eu/.well-known/mcp-server
armature.tech,https://mcp.armature.tech/.well-known/mcp-server
armor1.ai,https://mcp.armor1.ai/.well-known/mcp-server
aromatruffle.com,https://mcp.aromatruffle.com/.well-known/mcp-server
aroya.io,https://mcp.aroya.io/.well-known/mcp-server
arta.ch,https://mcp.arta.ch/.well-known/mcp-server
artblocks.io,https://mcp.artblocks.io/.well-known/mcp-server
artemis.ai,https://mcp.artemis.ai/.well-known/mcp-server
arternal.com,https://mcp.arternal.com/.well-known/mcp-server
articulate.com,https://mcp.articulate.com/.well-known/mcp-server
artie.com,https://mcp.artie.com/.well-known/mcp-server
artofscale.io,https://mcp.artofscale.io/.well-known/mcp-server
artxfood.fr,https://mcp.artxfood.fr/.well-known/mcp-server
asana.com,https://mcp.asana.com/.well-known/mcp-server
ascendancy.co,https://mcp.ascendancy.co/.well-known/mcp-server
ascgroup.net,https://mcp.ascgroup.net/.well-known/mcp-server
